SlNo,Code,Country,2000,2005,2010,2014,2015,2016,2017,2019,2020
1,4,Afghanistan,0,1.2,4,7,8.3,10.6,11.4,,18.8
2,8,Albania,0.1,6,45,60.1,63.3,66.4,71.8,73.5,
3,12,Algeria,0.5,5.8,12.5,29.5,38.2,42.9,47.7,,58
4,20,Andorra,10.5,37.6,81,95.9,96.9,97.9,98.9,98.9,
5,24,Angola,0.1,1.1,2.8,10.2,12.4,13,14.3,,21.5
6,28,Antigua and Barbuda,6.5,27,47,67.8,70,73,76,76,
7,31,Azerbaijan,0.1,8,46,75,77,78.2,79,,79
8,32,Argentina,7,17.7,45,64.7,68,71,75.8,,78
9,36,Australia,46.8,63,76,84,84.6,86.5,86.5,86.5,
10,40,Austria,33.7,58,75.2,81,83.9,84.3,87.9,87.9,
11,44,Bahamas,8,25,43,76.9,78,80,85,85,
12,48,Bahrain,6.2,21.3,55,90.5,93.5,95,95.9,,95.9
13,50,Bangladesh,0.1,0.2,3.7,13.9,14.4,18,18,,58.4
14,51,Armenia,1.3,5.3,25,54.6,59.1,64.3,69.7,,71.8
15,52,Barbados,4,52.5,65.1,75.2,76.1,79.5,81.8,81.8,
16,56,Belgium,29.4,55.8,75,85,85.1,86.5,87.7,93.9,
17,60,Bermuda,42.9,65.4,84.2,96.8,98.3,98,98.4,98.4,
18,64,Bhutan,0.4,3.8,13.6,30.3,39.8,41.8,48.1,,51.5
19,68,Bolivia (Plurin. State of),1.4,5.2,22.4,34.6,35.6,39.7,43.8,,65
20,70,Bosnia and Herzegovina,1.1,21.3,42.8,49.9,52.6,60.3,69.5,80.8,
21,72,Botswana,2.9,3.3,6,36.7,37.3,39.4,41.4,,47.5
22,76,Brazil,2.9,21,40.7,54.6,58.3,60.9,67.5,,71
23,84,Belize,6,17,28.2,38.7,41.6,44.6,47.1,51.3,
24,90,Solomon Islands,0.5,0.8,5,9,10,11,11.9,11.9,
25,92,British Virgin Islands,,18.9,37,37.6,37.6,37.6,,45.4,
26,96,Brunei Darussalam,9,36.5,53,68.8,71.2,90,94.9,,95.3
27,100,Bulgaria,5.4,20,46.2,55.5,56.7,59.8,63.4,66.7,
28,104,Myanmar,0,0.1,0.3,11.5,21.7,25.1,30.7,,40.8
29,108,Burundi,0.1,0.5,1,1.4,4.9,5.2,5.6,,9.7
30,112,Belarus,1.9,9,31.8,59,67.3,71.1,74.4,79.7,
31,116,Cambodia,0,0.3,1.3,14,22.3,32.4,34,,47.9
32,120,Cameroon,0.3,1.4,4.3,16.2,20.7,23.2,23.2,,23.2
33,124,Canada,51.3,71.7,80.3,87.1,88.5,91.2,92.7,92.7,
34,132,Cabo Verde,1.8,6.1,30,40.3,42.7,50.3,57.2,,63.3
35,136,Cayman Islands,,38,66,74.1,77,79,81.1,86.5,
36,140,Central African Republic,0.1,0.3,2,3.6,3.8,4,4.3,,13.6
37,144,Sri Lanka,0.6,1.8,12,25.8,30,32.1,34.1,,34.1
38,148,Chad,0,0.4,1.7,2.9,3.5,5,6.5,,6.5
39,152,Chile,16.6,31.2,45,61.1,76.6,82.3,82.3,,82.3
40,156,China,1.8,8.5,34.3,47.9,50.3,53.2,54.3,,59.3
41,170,Colombia,2.2,11,36.5,52.6,55.9,58.1,62.3,,69
42,174,Comoros,0.3,2,5.1,7,7.5,7.9,8.5,,20.5
43,178,Congo,0,1.5,5,7.1,7.6,8.1,8.7,,13.3
44,180,Dem. Rep. of the Congo,0,0.2,0.7,3,3.8,6.2,8.6,,8.6
45,184,Cook Islands,15.7,26.2,35.7,48,51,54,54,65.2,
46,188,Costa Rica,5.8,22.1,36.5,53,59.8,66,71.6,85.9,
47,191,Croatia,6.6,33.1,56.6,68.6,69.8,72.7,67.1,91.5,
48,192,Cuba,0.5,9.7,15.9,29.1,37.3,43,49.1,49.1,
49,196,Cyprus,15.3,32.8,53,69.3,71.7,75.9,80.7,84.4,
50,203,Czechia,9.8,35.3,68.8,74.2,75.7,76.5,78.7,87.7,
51,204,Benin,0.2,1.3,3.1,6,11.3,12,14.1,,31.4
52,208,Denmark,39.2,82.7,88.7,96,96.3,97,97.1,97.8,
53,212,Dominica,8.8,38.5,47.5,57.5,65,67,69.6,69.6,
54,214,Dominican Republic,3.7,11.5,31.4,49.6,54.2,63.9,65,65,
55,218,Ecuador,1.5,6,29,45.6,48.9,54.1,57.3,,69
56,222,El Salvador,1.2,4.2,15.9,24.8,26.8,29,31.3,57.4,
57,226,Equatorial Guinea,0.1,1.1,6,18.9,21.3,23.8,26.2,,26.2
58,231,Ethiopia,0,0.2,0.8,7.7,13.9,15.4,18.6,,18.6
59,232,Eritrea,0.1,0.2,0.6,1,1.1,1.2,1.3,,8.3
60,233,Estonia,28.6,61.5,74.1,84.2,87.2,87.2,88.1,97.9,
61,234,Faroe Islands,32.9,67.9,75.2,93.3,94.2,95.1,97.6,97.6,
62,238,Falkland Islands (Malvinas),58.6,84,95.8,97.6,98.3,99,99,,99
63,242,Fiji,1.5,8.5,20,37.4,42.5,46.5,50,54.5,
64,246,Finland,37.2,74.5,86.9,86.5,86.4,87.7,87.5,94,
65,250,France,14.3,42.9,77.3,83.8,78,79.3,80.5,83,
66,258,French Polynesia,6.4,21.5,49,60.7,64.6,68.4,72.7,72.7,
67,262,Djibouti,0.2,1,6.5,10.7,11.9,13.1,55.7,,55.7
68,266,Gabon,1.2,4.9,13,38.1,45.8,48.1,50.3,,58.8
69,268,Georgia,0.5,6.1,26.9,44,47.6,59.3,60.5,,66.6
70,270,Gambia,0.9,3.8,9.2,15.6,16.5,18.5,19.8,,19.8
71,275,State of Palestine,1.1,16,37.4,53.7,57.4,61.2,65.2,,66.3
72,276,Germany,30.2,68.7,82,86.2,84.4,84.4,84.4,96,
73,288,Ghana,0.2,1.8,7.8,25.5,31.4,34.7,37.9,,37.9
74,292,Gibraltar,19.1,39.1,65,65,65,94.4,94.4,94.4,
75,296,Kiribati,1.8,4,9.1,12.3,13,13.7,14.6,27.4,
76,300,Greece,9.1,24,44.4,63.2,66.8,69.1,69.9,72.9,
77,304,Greenland,31.7,57.7,63,66.7,67.6,68.5,69.5,91.8,
78,308,Grenada,4.1,20.5,27,51.6,53.8,55.9,59.1,63.6,
79,316,Guam,16.1,38.6,54,69.3,73.1,77,80.5,80.5,
80,320,Guatemala,0.7,5.7,10.5,23.4,28.8,34.5,40.7,41.4,
81,324,Guinea,0.1,0.5,1,6.4,8.2,9.8,11.4,,18.4
82,328,Guyana,6.6,13.2,29.9,32,34,35.7,37.3,,55
83,332,Haiti,0.2,6.4,8.4,11.4,12.2,12.2,12.3,17.8,
84,340,Honduras,1.2,6.5,11.1,19.1,27.6,30,32.1,37.6,
85,344,"China, Hong Kong SAR",27.8,56.9,72,79.9,84.9,87.5,89.4,,89.4
86,348,Hungary,7,39,65,75.7,72.8,79.3,76.8,89,
87,352,Iceland,44.5,87,93.4,98.2,98.2,98.2,98.3,99,
88,356,India,0.5,2.4,7.5,21,26,29.5,34.5,,40.6
89,360,Indonesia,0.9,3.6,10.9,17.1,22,25.5,32.3,,62.6
90,364,Iran (Islamic Republic of),0.9,8.1,15.9,39.4,45.3,53.2,60.4,,80.5
91,368,Iraq,0.1,0.9,2.5,13.2,17.2,21.2,49.4,,52.9
92,372,Ireland,17.9,41.6,69.9,83.5,83.5,84.5,84.5,91.9,
93,376,Israel,20.9,25.2,67.5,75,77.4,79.7,81.6,,81.6
94,380,Italy,23.1,35,53.7,55.6,58.1,61.3,61.3,92.5,
95,384,Cote d'Ivoire,0.2,1,2.7,19.3,38.4,41.2,43.8,,45.3
96,388,Jamaica,3.1,12.8,27.7,40.4,42.2,44.4,48.8,54.4,
97,392,Japan,30,66.9,78.2,89.1,91.1,93.2,90.9,,93.8
98,398,Kazakhstan,0.7,3,31.6,66,70.8,74.6,76.4,,78.1
99,400,Jordan,2.6,12.9,27.2,46.2,60.1,62.3,66.8,,85.3
100,404,Kenya,0.3,3.1,7.2,16.5,16.6,16.6,17.8,,87.2
101,410,Republic of Korea,44.7,73.5,83.7,87.6,89.9,92.8,95.1,,96
102,414,Kuwait,6.7,25.9,61.4,78.7,77.5,78.4,98,,99.1
103,417,Kyrgyzstan,1,10.5,16.3,28.3,30.2,34.5,38.2,,38.2
104,418,Lao People's Dem. Rep.,0.1,0.9,7,14.3,18.2,21.9,25.5,,42
105,422,Lebanon,8,10.1,43.7,73,74,76.1,78.2,,81.3
106,426,Lesotho,0.2,2.6,3.9,22,25,27.4,29.8,,31.9
107,428,Latvia,6.3,46,68.4,75.8,79.2,79.8,81.3,87.1,
108,430,Liberia,0,0,2.3,5.4,5.9,7.3,8,,12.3
109,434,Libya,0.2,3.9,14,17.8,19,20.3,21.8,,74.2
110,438,Liechtenstein,36.5,63.4,80,95.2,96.6,98.1,98.1,98.1,
